Game ID,SteamDB score
545920,60.54%
545930,36.12%
545940,74.03%
545960,77.62%
545980,85.47%
546030,43.68%
546040,44.31%
546050,80.75%
546070,67.49%
546080,87.04%
546090,80.36%
546100,-1
546110,67.93%
546120,-1
546150,70.29%
546170,78.99%
546180,56.00%
545330,42.25%
545340,81.67%
545400,65.00%
545410,64.20%
545430,78.06%
545450,-1
545470,56.60%
545490,23.87%
545540,80.04%
545570,55.12%
545580,67.92%
545590,81.68%
545600,77.22%
545620,53.52%
545640,62.10%
545650,47.75%
545660,-1
545670,76.13%
545690,86.72%
544820,50.00%
544840,63.05%
544870,56.14%
544880,44.31%
544920,79.87%
544970,88.10%
544990,69.44%
545000,-1
545010,42.61%
545030,81.07%
545040,76.21%
545050,55.11%
545060,68.94%
545110,72.41%
545130,45.52%
545150,52.00%
545180,76.36%
545200,54.07%
545270,68.71%
544360,-1
544370,-1
544380,62.51%
544390,88.32%
544400,-1
544410,54.69%
544420,43.88%
544440,71.26%
544470,-1
544480,46.48%
544520,71.49%
544530,70.41%
544540,71.70%
544580,73.30%
544590,62.52%
544600,80.19%
544630,46.94%
544650,66.34%
544680,38.07%
544710,82.05%
544730,49.49%
544750,78.57%
544790,59.54%
544800,41.00%
543870,81.87%
543900,63.71%
543910,-1
543920,44.31%
543930,84.51%
543940,-1
543950,31.85%
543980,80.98%
544000,-1
544130,65.38%
544140,34.83%
544180,87.79%
544190,68.50%
544220,36.79%
544290,72.42%
544300,-1
544310,86.99%
544330,76.63%
543430,60.74%
543440,67.91%
543460,51.90%
543510,56.83%
543530,74.63%
543540,53.32%
543580,68.88%
543600,65.67%
543650,53.23%
543710,60.76%
543720,-1
543740,50.00%
543010,61.36%
543030,64.53%
543040,-1
543050,44.86%
543070,75.41%
543100,68.10%
543110,68.15%
543120,-1
543140,77.96%
543150,-1
543160,52.28%
543170,58.07%
543180,60.19%
543240,76.96%
543260,82.12%
543270,75.36%
543290,46.68%
543300,55.69%
543350,62.10%
543360,49.26%
543380,52.39%
543390,69.78%
542650,55.52%
542660,74.19%
542670,33.38%
542680,46.73%
542690,46.98%
542710,42.86%
542720,43.20%
542730,37.60%
542740,45.20%
542750,44.86%
542770,83.59%
542780,32.78%
542790,45.83%
542820,60.76%
542850,56.69%
542870,53.98%
542880,-1
542910,46.68%
542930,41.25%
542940,60.55%
542960,73.45%
542200,81.06%
542210,68.10%
542220,-1
542240,52.42%
542280,71.26%
542310,79.84%
542340,46.92%
542350,72.57%
542400,74.17%
542410,47.22%
542480,67.59%
542520,72.59%
542550,63.76%
542570,68.00%
542590,61.48%
542620,62.10%
541720,53.09%
541760,-1
541770,-1
541910,-1
541930,84.99%
541960,-1
541970,44.31%
542030,81.48%
542050,87.02%
542100,50.00%
542110,47.61%
542120,70.81%
542170,72.22%
541210,82.15%
541230,80.00%
541240,77.62%
541270,64.35%
541310,-1
541350,50.94%
541370,34.55%
541380,44.37%
541410,64.78%
541420,71.55%
541450,67.19%
541560,55.14%
541570,92.75%
541640,78.12%
541660,79.77%
541670,77.57%
541150,-1
541160,67.93%
541190,60.97%
541200,83.21%
540780,83.14%
540840,87.70%
540860,51.88%
540870,67.39%
540880,84.41%
540900,47.95%
540360,50.00%
540410,-1
540500,66.98%
540510,76.88%
540550,48.44%
540590,34.58%
540610,83.08%
540640,62.00%
540650,43.47%
540660,68.00%
540690,61.40%
540740,49.40%
540770,67.93%
540010,69.44%
540020,44.91%
540060,73.60%
540100,61.89%
540150,59.80%
540180,35.76%
540190,67.09%
540250,51.89%
540320,63.89%
539640,55.67%
539650,60.77%
539660,82.28%
539670,81.09%
539690,56.05%
539720,82.24%
539750,68.76%
539270,73.00%
539290,47.17%
539300,47.80%
539330,76.14%
539340,78.23%
539370,69.80%
539380,68.69%
539400,81.72%
539440,49.39%
539450,67.44%
539460,71.48%
539470,82.18%
539560,56.05%
538840,72.25%
538880,76.30%
538900,-1
538920,46.13%
538950,73.59%
538990,53.45%
539010,43.95%
539050,59.28%
539090,65.25%
539190,73.89%
538470,40.40%
538490,44.31%
538510,37.49%
538550,70.19%
538560,34.62%
538590,36.52%
538680,91.76%
538700,-1
538710,78.83%
538790,45.67%
538810,62.71%
537990,62.31%
538000,77.54%
538040,-1
538050,50.00%
538060,54.06%
538070,86.71%
538100,85.76%
538110,70.33%
538170,63.89%
538220,70.33%
538330,59.80%
538390,55.69%
538410,66.62%
537660,52.78%
537700,68.68%
537740,51.92%
537750,62.51%
537760,71.55%
537800,86.39%
537920,64.78%
537340,77.54%
537380,-1
537430,47.41%
537450,61.67%
537520,54.00%
537540,44.23%
537590,50.00%
536920,55.69%
536950,52.12%
536960,65.00%
536990,75.25%
537000,69.34%
537020,-1
537050,67.93%
537060,50.00%
